thousand,千、千の,せん、せんの
explorers,探検家、冒険家,たんけんいえ、ぼうけんか
conductor,指揮者、導体、案内人,しきしゃ、どうたい、あんないにん
denigrate,侮辱する,ぶじょくする
prescription,処方箋。医師が患者に特定の薬を処方するための公式な指示書。,しょほうせん。いしがかんじゃにとくていのくすりをしょほうするためのこうしきなしじしょ。
compared,比較された、対比された。,ひかくされた、たいひされた。
explanation,説明、解説。物事の意味や理由を明らかにすること。,せつめい、かいせつ。ものごとのいみやりゆうをあきらかにすること。
initial,初期の、最初の。物事の始まりの段階に関すること。,しょきの、さいしょの。ものごとのはじまりのだんかいにかんすること。
accede,同意する,どういする
help with,を助ける,をたすける
knock down,を取り壊す、打ち倒す,をとりこわす、うちたおす
meaningful,意味のある、有意義な,いみのある、ゆういぎな
shell,貝殻、貝,かいがら、かい
bankruptcy,破産、倒産,はさん、とうさん
shrug,肩をすくめる、無視する,かたをすくめる、むしする
sting,鋭い痛みを伴って刺す。,するどいいたみをともなってさす。
hall,廊下,ろうか
survival,存続 生き残ること,そんぞく いきのこること
eternal city,永遠の都(ローマの愛称),えいえんのみやこ(ろーまのあいしょう)
onslaught,猛攻撃、激しい攻撃,もうこうげき、はげしいこうげき
suspect A of B,BについてAを疑う,BについてAをうたがう
banter,冗談、笑い話、おどけ,じょうだん、わらいばなし、おどけ
typical,典型的な、あるいは標準的な。一般的に見られる特徴を備えたものを指します。,てんけいてきな、あるいはひょうじゅんてきな。いっぱんてきにみられるとくちょうをそなえたものをさします。
mother,母,はは
rancor,怨恨、憎しみ,えんこん、にくしみ
star,星、スター,ほし、すたー
differently,異なって、異なる,ことなって、ことなる
criminal,犯罪の、違法の,はんざいの、いほうの
intelligence,情報の収集や理解力。,じょうほうのしゅうしゅうやりかいりょく。
horrendous,恐ろしい,おそろしい
success,目標達成、良い結果,もくひょうたっせい、よいけっか
fodder,飼料、動物のエサ,しりょう、どうぶつのえさ
doctrine,教義、信条,きょうぎ、しんじょう
have an effect on,に影響を及ぼす、影響する,にえいきょうをおよぼす、えいきょうする
suicide,自殺、自死,じさつ、じし
aegis,保護,ほご
surreptitious,秘密裏の、ひそかな,ひみつりの、ひそかな
be versed in,に精通している、に詳しい,にせいつうしている、にくわしい
weary,疲れた、疲弊した,つかれた、ひへいした
jejune,子供っぽい、稚拙な,こどもっぽい、ちせつな
intruder,侵入者,しんにゅうしゃ
squad,軍隊やグループの小分隊やチーム。,ぐんたいやぐるーぷのしょうぶんたいやちーむ。
edify,啓発する,けいはつする
sinew,腱、筋,けん、すじ
account for,を説明する、解説する,をせつめいする、かいせつする
notorious,悪名高い、有名な,あくめいたかい、ゆうめいな
cavity,空洞、虫歯、くぼみ,くうどう、むしば、くぼみ
ephemeral,はかない,はかない
highly,非常に高い評価を受ける。,ひじょうにたかいひょうかをうける。
sushi,生魚をのせたご飯,せいぎょをのせたごめし
historical,歴史上の、過去の記録に関する。,れきしじょうの、かこのきろくにかんする。
without trace,跡形もなく,あとかたもなく
sludge,汚泥、泥沼,おでい、どろぬま
novelty,斬新さ、珍しさ,ざんしんさ、めずらしさ
physical,物理的な、身体的な、実体のある。,ぶつりてきな、しんたいてきな、じったいのある。
bimonthly,隔月の,かくげつの
significantly,著しく、重要な程度で。,いちじるしく、じゅうようなていどで。
aquatic,水生の、水中の,すいせいの、すいちゅうの
preparatory,準備の,じゅんびの
compartment,区画,くかく
cardinal,主要な、中心的な,しゅような、ちゅうしんてきな
impede,妨げる、邪魔する,さまたげる、じゃまする
plug,電気を接続すること。,でんきをせつぞくすること。
slip of the tongue,失言、口を滑らせる,しつげん、くちをすべらせる
word,言葉,ことば
malice,悪意、敵意,あくい、てきい
applicable,適用可能な条件。,てきようかのうなじょうけん。
scarcely,ほとんど〜ない、まれに,ほとんど〜ない、まれに
place limitation on,に制限を加える、限界を与える,にせいげんをくわえる、げんかいをあたえる
eagerly,熱心に、非常に興味を持って。,ねっしんに、ひじょうにきょうみをもって。
complicit,共犯の,きょうはんの
fill,満たす、または埋める。容器や空間を内容物でいっぱいにすることを意味します。,みたす、またはうめる。ようきやくうかんをないようぶつでいっぱいにすることをいみします。
at the expense of,を犠牲にして,をぎせいにして
market share,市場シェア。全体の市場における特定企業や国の占める割合。,しじょうしぇあ。ぜんたいのしじょうにおけるとくていきぎょうやくにのしめるわりあい。
generous,気前のよい、寛容な,きまえのよい、かんような
defiant,反抗的な、挑戦的な,はんこうてきな、ちょうせんてきな
could,～できた。過去に何かをすることができた可能性を表す助動詞。,~できた。かこになにかをすることができたかのうせいをあらわすじょどうし。
ordinary,ふつうの、いつもの,ふつうの、いつもの
delete,を削除する、消す,をさくじょする、けす
revitalize,活性化させる、刺激する,かっせいかさせる、しげきする
quadruple,4倍の,4ばいの
consideration,考慮、配慮、思いやり,こうりょ、はいりょ、おもいやり
on the subject of,に関して、について,にかんして、について
convention,大会、会議。特定の目的のための大規模な集まり。,たいかい、かいぎ。とくていのもくてきのためのだいきぼなあつまり。
inanimate,無生物の、生命のない,むせいぶつの、せいめいのない
contaminate,を汚染する、汚す,をおせんする、よごす
assorted,盛り合わせの,もりあわせの
designed,特定の目的や機能に合わせて計画・設計されたもの。,とくていのもくてきやきのうにあわせてけいかく・せっけいされたもの。
ticket,切符。入場を許可する券。,きっぷ。にゅうじょうをきょかするけん。
in addition,追加として、さらに,ついかとして、さらに
vigil,寝ずの番,ねずのばん
Thursday,木曜日,もくようび
prestige,名声、評判,めいせい、ひょうばん
direct,直接的な関与または接触。,ちょくせつてきなかんよまたはせっしょく。
haste,急ぐ/急ぎ,いそぐ/いそぎ
flip-flop,サンダル、パタパタ鳴る音,さんだる、ぱたぱたなるおと
manipulator,操縦者,そうじゅうしゃ
accountant,会計士、経理担当者。財務や会計を専門とする職業人。,かいけいし、けいりたんとうしゃ。ざいむやかいけいをせんもんとするしょくぎょうにん。
improve,改善する、より良くする。状況や状態を向上させることを意味します。,かいぜんする、よりよくする。じょうきょうやじょうたいをこうじょうさせることをいみします。
talent,才能、特定の分野での自然な能力。,さいのう、とくていのぶんやでのしぜんなのうりょく。
democrat,民主主義者、民主派,みんしゅしゅぎしゃ、みんしゅは
pretend to do,するふりをする、～だと見せかける,するふりをする、~だとみせかける
take out,持ち帰り,もちかえり
terminal,終りの、末端の,おわりの、まったんの
hover,空中停止する,くうちゅうていしする
mow,を刈る,をかる
a bit of,少量の,しょうりょうの
unearth,発掘する、掘り出す、新たに見つけ出す,はっくつする、ほりだす、あらたにみつけだす
ceiling,天井、上限,てんじょう、じょうげん
fastidious,気難しい,きむずかしい
constipation,便秘,べんぴ
appetite,食欲、食い気,しょくよく、くいけ
scarcity,不足、欠乏、欠如,ふそく、けつぼう、けつじょ
villainous,極悪人の、悪役の,ごくあくにんの、あくやくの
somehow,なんとかして、どういうわけか,なんとかして、どういうわけか
convergence,異なる要素の接近または合流。,ことなるようそのせっきんまたはごうりゅう。
temporary,一時的なもので、長期間のものでない状態。,いちじてきなもので、ちょうきかんのものでないじょうたい。
hide out,隠れる、潜伏する,かくれる、せんぷくする
distinct,明確に異なる、はっきりした,めいかくにことなる、はっきりした
precept,戒律,かいりつ
highlight,重要な部分を強調・目立たせる,じゅうようなぶぶんをきょうちょう・めだたせる
show off,見せびらかす、自慢する,みせびらかす、じまんする
crafty,意味:狡猾な、ずる賢い。目的達成のために策略を用いたり、抜け目なく行動する様子。,いみ:こうかつな、ずるかしこい。もくてきたっせいのためにさくりゃくをもちいたり、ぬけめなくこうどうするようす。
grape,ぶどう,ぶどう
twice,2回、二重に行うこと。,2かい、にじゅうにおこなうこと。
organ,臓器、器官,ぞうき、きかん
nothing much,大したことはない、特に何もない,たいしたことはない、とくになにもない
great,素晴らしい、広大な,すばらしい、こうだいな
collateral,並び合った、横に並んだ,ならびあった、よこにならんだ
tell on,言いつける、告げ口する,いいつける、つげぐちする
jurisdiction,法的権限、または司法権。,ほうてきけんげん、またはしほうけん。
sudden,突然の、急な,とつぜんの、きゅうな
exhale,吐き出す、放出する,はきだす、ほうしゅつする
fool,馬鹿,ばか
particularly,特に、とりわけ,とくに、とりわけ
come to a halt,一旦停止する、一時的に止める,いったんていしする、いちじてきにやめる
savory,塩味の,しおあじの
tutor,学生に教える家庭教師。,がくせいにおしえるかていきょうし。
peep,のぞき見る,のぞきみる
kinetic,運動の,うんどうの
aim,ねらいをつける、狙う,ねらいをつける、ねらう
stir,をかき混ぜる、混ぜる,をかきまぜる、まぜる
inaugurate,就任させる、開始する、創始する,しゅうにんさせる、かいしする、そうしする
as well as,〜と同様に,〜とどうように
flatter,お世辞を言う、へつらう,おせじをいう、へつらう
samosa,スパイシーな具の揚げ餃子,すぱいしーなぐのあげぎょうざ
even if,たとえ～だとしても、仮に～であっても,たとえ~だとしても、かりに~であっても
critically,重大に、危機的に,じゅうだいに、ききてきに
this,この,この
rigorous,厳格な、厳密な、徹底的な,げんかくな、げんみつな、てっていてきな
particle,分子、微量,ぶんし、びりょう
vindictive,執念深い,しゅうねんふかい
face the music,結果に直面する,けっかにちょくめんする
big,大きい,おおきい
palpable,さわれる,さわれる
up to,～まで、～に至る,~まで、~にいたる
chapter,章、区切り,しょう、くぎり
fiction,創作、フィクション。想像で作られた物語や設定。,そうさく、ふぃくしょん。そうぞうでつくられたものがたりやせってい。
against will,意志に反して,いしにはんして
interior design,インテリアデザイン,いんてりあでざいん
confirm,を確認する。何かが正しいことを確かめること。,をかくにんする。なにかがただしいことをたしかめること。
freeze,凍る、氷結,こおる、ひょうけつ
run out of,を使い果たす、使い尽くす,をつかいはたす、つかいつくす
profound,深遠な、根本的な,しんえんな、こんぽんてきな
be apt to,しがちである、する癖がある,しがちである、するくせがある
hay,干し草、牧草,ほしくさ、ぼくそう
precede,先行する、先に行く,せんこうする、さきにいく
in place,決まった場所に、適切で,きまったばしょに、てきせつで
imperative,命令的な、指令的な,めいれいてきな、しれいてきな
indecent,わいせつな、みだらな,わいせつな、みだらな
maritime,海事の、海洋に関する,かいじの、かいようにかんする
county,アメリカなどで州の下に位置する行政区分、郡。,あめりかなどでしゅうのしたにいちするぎょうせいくぶん、ぐん。
convict,有罪とする、罪を宣告する,ゆうざいとする、つみをせんこくする
sewage,下水、排水,げすい、はいすい
fall victim to,の犠牲になる、犠牲となる,のぎせいになる、ぎせいとなる
creditor,お金を貸した側、債権者,おかねをかしたがわ、さいけんしゃ
enterprise,企業、事業。営利を目的とした組織や活動。,きぎょう、じぎょう。えいりをもくてきとしたそしきやかつどう。
overfitting,過学習。モデルが訓練データに過度に適合してしまう現象。,かがくしゅう。もでるがくんれんでーたにかどにてきごうしてしまうげんしょう。
fluid,流動的な、液体の,りゅうどうてきな、えきたいの
standstill,停止,ていし
province,州、地方、分野,しゅう、ちほう、ぶんや
initiative,主導権。新しいアイデアや行動を最初に提案したり実行したりする能力や行為。,しゅどうけん。あたらしいあいであやこうどうをさいしょにていあんしたりじっこうしたりするのうりょくやこうい。
street,通り,とうり
adoption,採用、受け入れ,さいよう、うけいれ
designation,指定、選定,してい、せんてい
pioneer,開拓者、先駆者,かいたくしゃ、せんくしゃ
pass out,気絶する、出ていく,きぜつする、でていく
hindsight,後知恵、振り返り,のちちえ、ふりかえり
remission,免除、除外,めんじょ、じょがい
matrix,母体、原盤,ぼたい、げんばん
yolk,卵黄、黄身,らんおう、きみ
unkempt,もじゃもじゃの,もじゃもじゃの
faculty,学部、教授陣,がくぶ、きょうじゅじん
contrast,対比、対照、違い,たいひ、たいしょう、ちがい
juxtaposition,並置、並列,へいち、へいれつ
impediment,障害、障害物,しょうがい、しょうがいぶつ
clear A of B,AからBを取り除く,AからBをとりのぞく
grail,聖杯,せいはい
cash in,現金に変える、現金を投入する,げんきんにかえる、げんきんをとうにゅうする
profile,プロフィール情報,ぷろふぃーるじょうほう
accommodate,収容する。人や物を適切に受け入れたり、場所を提供したりすること。,しゅうようする。にんやものをてきせつにうけいれたり、ばしょをていきょうしたりすること。
inspection,検査。状態や品質などを調べること。例 a safety inspection(安全検査),けんさ。じょうたいやひんしつなどをしらべること。れい a safety inspection(あんぜんけんさ)
forty,40,40
seventeen,17,17
joy,喜び、歓喜,よろこび、かんき
see you later,またね,またね
critter,生き物,いきもの
creativity,創造性、独創性,そうぞうせい、どくそうせい
conception,概念、または何かを思いつくこと。,がいねん、またはなにかをおもいつくこと。
treachery,裏切り、背信,うらぎり、はいしん
unctuous,へつらう、おせじの,へつらう、おせじの
wrestle with,取っ組み合う、取り組む,とっくみあう、とりくむ
remarked,何かを言ったり、指摘したこと。,なにかをいったり、してきしたこと。
claustrophobia,閉所恐怖症,へいしょきょうふしょう
interest,関心や興味を引くこと、興味。,かんしんやきょうみをひくこと、きょうみ。
inert,不活性の,ふかっせいの
refer to,を参照する、参考にする,をさんしょうする、さんこうにする
flavor,味、風味、香り,あじ、ふうみ、かおり
catch someone's eye,目を引く,めをひく
